Waybill,Customer ID,Order Date,Parcel KG,Courier Charge,Sales amount,Pickup Point ID
PAR4068791379,CUS1104,2022/03/15,2,,60,pup1420
PAR4068706142,CUS1106,2022/03/17,2,84.39,97,pup139
PAR4091142573,CUS1106,2022/03/16,2,,60,pup2320
PAR4091169364,CUS1108,2022/03/17,3,,60,pup4258
PAR4091196670,CUS1109,2022/03/24,2,217.58,228,pup1695
PAR4068787904,CUS1110,2022/03/25,3,84.39,99,pup928
PAR4091192652,CUS1111,2022/03/23,2,53.3,55,pup1954
PAR4091138404,CUS1112,2022/03/16,4,53.3,67,pup2196
PAR4068744703,CUS1113,2022/03/23,2,53.3,67,pup3759
PAR4091107976,CUS1114,2022/03/09,1,42.16,49,pup2400
PAR4091129573,CUS1115,2022/03/25,2,84.39,110,pup1892
PAR4091195016,CUS1115,2022/03/09,4,42.16,63,pup672
PAR4091171871,CUS1117,2022/03/24,2,53.3,58,pup729
PAR4091163378,CUS1118,2022/03/10,3,73.83,75,pup746
PAR4091125322,CUS1119,2022/03/18,2,84.39,100,pup1025
PAR4068776420,CUS1120,2022/03/31,1,53.3,76,pup857
PAR4091179901,CUS1121,2022/03/22,2,84.39,125,pup1433
PAR4091128347,CUS1122,2022/03/22,2,73.83,77,pup4429
PAR4091158646,CUS1123,2022/03/14,4,73.83,94,pup546
PAR4068742105,CUS1124,2022/03/15,4,84.39,94,pup750
PAR4091166332,CUS1125,2022/03/09,1,53.3,58,pup1109
PAR4091140104,CUS1126,2022/03/11,5,84.39,97,pup1459
PAR4068728061,CUS1127,2022/03/10,4,84.39,101,pup2306
PAR4068702999,CUS1128,2022/03/31,2,73.83,91,pup3094
PAR4068754630,CUS1129,2022/03/15,4,,60,pup1034
PAR4091111205,CUS1129,2022/03/16,4,,60,pup2570
PAR2081662541,CUS1131,2022/03/24,1,84.39,100,pup778
PAR2081685294,CUS1132,2022/03/23,2,73.83,81,pup657
PAR4091189467,CUS1133,2022/03/15,2,84.39,103,pup1448
PAR4091184151,CUS1134,2022/03/28,2,53.3,56,pup568
PAR4068783922,CUS1135,2022/03/31,2,42.16,57,pup783
PAR4068715128,CUS1136,2022/03/30,2,53.3,78,pup2349
PAR4091157383,CUS1136,2022/03/22,10,53.3,59,pup650
PAR4091140883,CUS1138,2022/03/15,2,84.39,124,pup1566
PAR4068785061,CUS1139,2022/03/30,2,53.3,77,pup2817
PAR4091161872,CUS1140,2022/03/09,2,42.16,49,pup496
PAR4068757742,CUS1141,2022/03/31,3,84.39,99,pup433
PAR4068783665,CUS1142,2022/03/29,3,,60,pup2107
PAR4068738919,CUS1143,2022/03/29,4,73.83,89,pup1488
PAR4091160159,CUS1143,2022/03/17,3,73.83,82,pup3292
PAR4091110283,CUS1145,2022/03/10,2,84.39,102,pup1982
PAR4068706034,CUS1146,2022/03/18,2,53.3,78,pup4092
PAR4091135408,CUS1147,2022/03/16,2,84.39,116,pup4275
PAR4091148093,CUS1148,2022/03/14,2,53.3,60,pup903
PAR4068764891,CUS1149,2022/03/22,1,84.39,96,pup4270
PAR4091111008,CUS1150,2022/03/24,2,53.3,60,pup1693
PAR4068785007,CUS1151,2022/03/15,2,53.3,70,pup667
PAR4068751668,CUS1152,2022/03/10,1,53.3,76,pup912
PAR4091149277,CUS1153,2022/03/11,2,,60,pup741
PAR4068745888,CUS1154,2022/03/15,5,73.83,87,pup1110
PAR4091152073,CUS1155,2022/03/24,1,73.83,93,pup2340
PAR4068762441,CUS1156,2022/03/09,5,42.16,55,pup2003
PAR4068704429,CUS1157,2022/03/10,1,42.16,47,pup214
PAR4068766775,CUS1158,2022/03/23,2,,60,pup4342
PAR4068740472,CUS1159,2022/03/16,1,73.83,81,pup979
PAR4091139051,CUS1160,2022/03/14,1,84.39,118,pup1470
PAR4091128643,CUS1161,2022/03/14,2,53.3,74,pup2697
PAR4091125193,CUS1162,2022/03/15,1,42.16,51,pup957
PAR4091167572,CUS1163,2022/03/29,2,53.3,56,pup505
PAR4091124541,CUS1164,2022/03/29,2,84.39,99,pup1015
PAR4091102750,CUS1165,2022/03/24,1,73.83,91,pup2755
PAR4068759725,CUS1166,2022/03/28,4,53.3,56,pup3694
PAR4091155530,CUS1167,2022/03/16,2,53.3,75,pup3012
PAR4091142431,CUS1168,2022/03/10,4,84.39,93,pup898
PAR4068783761,CUS1169,2022/03/22,2,,60,pup4023
PAR4091151407,CUS1170,2022/03/14,5,,60,pup3167
PAR4068754491,CUS1171,2022/03/14,2,,60,pup675
PAR4068709124,CUS1172,2022/03/31,2,73.83,98,pup4390
PAR4091145943,CUS1173,2022/03/22,3,84.39,124,pup4604
PAR4091193660,CUS1174,2022/03/09,4,84.39,109,pup3233
PAR4068779457,CUS1175,2022/03/22,3,73.83,80,pup738
PAR4068705895,CUS1176,2022/03/30,6,84.39,93,pup2079
PAR4091121582,CUS1177,2022/03/24,4,,60,pup3923
PAR4091124326,CUS1177,2022/03/22,3,84.39,122,pup669
PAR4091194472,CUS1177,2022/03/15,2,,60,pup2753
PAR4068736860,CUS1180,2022/03/15,3,217.58,252,pup2772
PAR4068731635,CUS1181,2022/03/09,2,42.16,51,pup2839
PAR4068757151,CUS1182,2022/03/29,2,73.83,100,pup2139
PAR4091118064,CUS1182,2022/03/23,2,73.83,93,pup3100
PAR4091145073,CUS1182,2022/03/15,3,73.83,90,pup926
PAR4068739653,CUS1185,2022/03/25,4,84.39,110,pup831
PAR4091190322,CUS1186,2022/03/10,4,42.16,49,pup891
PAR4068772420,CUS1187,2022/03/15,2,42.16,45,pup1452
PAR4091158719,CUS1188,2022/03/09,2,42.16,64,pup3129
PAR4091137108,CUS1189,2022/03/22,4,84.39,125,pup2527
PAR4091134068,CUS1190,2022/03/16,4,,60,pup1044
PAR4091106417,CUS1191,2022/03/09,2,53.3,72,pup904
PAR4091124846,CUS1192,2022/03/10,2,84.39,110,pup3052
PAR4091139865,CUS1193,2022/03/09,1,42.16,63,pup4338
PAR4091159959,CUS1194,2022/03/15,2,,60,pup3145
PAR4068739209,CUS1195,2022/03/28,2,53.3,75,pup1020
PAR4091148817,CUS1196,2022/03/09,2,217.58,262,pup503
PAR4091120395,CUS1197,2022/03/22,2,84.39,87,pup3774
PAR4091151863,CUS1197,2022/03/09,3,84.39,92,pup4811
PAR4091133206,CUS1199,2022/03/10,1,84.39,120,pup933
PAR4068793363,CUS1200,2022/03/18,3,,60,pup2804
PAR4091115192,CUS1201,2022/03/28,2,53.3,74,pup2784
PAR4068712910,CUS1202,2022/03/25,7,84.39,117,pup543
PAR4068745383,CUS1203,2022/03/17,2,53.3,68,pup1503
PAR4068736387,CUS1204,2022/03/23,2,84.39,108,pup4105
PAR4091156132,CUS1205,2022/03/22,2,84.39,99,pup1561
PAR4091192160,CUS1206,2022/03/19,2,84.39,99,pup935
PAR4068717573,CUS1207,2022/03/23,3,53.3,62,pup3144
PAR4068704915,CUS1208,2022/03/22,3,73.83,80,pup1614
PAR4091165920,CUS1209,2022/03/16,2,53.3,73,pup661
PAR4091168905,CUS1210,2022/03/09,4,42.16,62,pup2307
PAR4091192851,CUS1211,2022/03/16,4,42.16,49,pup1849
PAR4091116022,CUS1212,2022/03/11,2,,60,pup4074
PAR4068784695,CUS1213,2022/03/31,5,53.3,73,pup992
PAR4068715516,CUS1214,2022/03/22,3,42.16,56,pup731
PAR4091124792,CUS1215,2022/03/22,3,84.39,116,pup2761
PAR4091124932,CUS1216,2022/03/10,1,,60,pup738
PAR4068723526,CUS1217,2022/03/29,2,53.3,66,pup494
PAR4091183898,CUS1218,2022/03/09,2,,60,pup4778
PAR4068771579,CUS1219,2022/03/25,2,,60,pup2769
PAR4068700869,CUS1220,2022/03/16,1,84.39,113,pup997
PAR4091136890,CUS1220,2022/03/17,2,84.39,114,pup736
PAR4091130527,CUS1222,2022/03/10,2,53.3,64,pup1398
PAR4091128224,CUS1223,2022/03/28,2,53.3,70,pup885
PAR4068750990,CUS1224,2022/03/18,3,53.3,57,pup949
PAR4091104344,CUS1225,2022/03/10,1,53.3,71,pup1271
PAR4091145014,CUS1226,2022/03/22,4,73.83,101,pup3679
PAR4068732383,CUS1227,2022/03/22,1,73.83,78,pup4377
PAR4091186554,CUS1228,2022/03/16,1,,60,pup1424
PAR4091124825,CUS1229,2022/03/24,2,84.39,122,pup2338
PAR4091103022,CUS1230,2022/03/10,3,73.83,109,pup1022
PAR4091112517,CUS1230,2022/03/22,4,73.83,93,pup2320
PAR4068738778,CUS1232,2022/03/22,2,,60,pup1121
PAR4068745554,CUS1233,2022/03/15,2,,60,pup4277
PAR4091100790,CUS1234,2022/03/22,3,,60,pup1624
PAR4068762733,CUS1235,2022/03/25,1,84.39,87,pup4264
PAR4091140854,CUS1235,2022/03/09,1,84.39,86,pup616
PAR4091121948,CUS1237,2022/03/11,1,84.39,90,pup1949
PAR4091137928,CUS1238,2022/03/15,2,84.39,111,pup611
PAR4091113870,CUS1239,2022/03/28,2,84.39,95,pup2671
PAR4068705577,CUS1240,2022/03/29,1,84.39,117,pup1579
PAR4091135012,CUS1240,2022/03/24,1,84.39,86,pup1759
PAR4091117086,CUS1242,2022/03/19,3,73.83,81,pup1038
PAR4091141644,CUS1243,2022/03/09,2,42.16,61,pup964
PAR4091103949,CUS1244,2022/03/23,4,84.39,119,pup4525
PAR4091192774,CUS1245,2022/03/28,2,84.39,89,pup980
PAR4091158099,CUS1246,2022/03/11,2,73.83,78,pup2559
PAR4068723613,CUS1247,2022/03/24,1,53.3,61,pup4711
PAR4091138294,CUS1248,2022/03/10,4,84.39,112,pup2087
PAR4068745034,CUS1249,2022/03/30,3,84.39,127,pup991
PAR4091128302,CUS1250,2022/03/09,2,42.16,50,pup3060
PAR4068750368,CUS1251,2022/03/18,2,84.39,93,pup1120
PAR4068773990,CUS1252,2022/03/29,4,73.83,101,pup983
PAR4091128033,CUS1253,2022/03/30,3,84.39,93,pup1986
PAR4091199518,CUS1254,2022/03/24,2,84.39,85,pup116
PAR4091110110,CUS1255,2022/03/16,2,,60,pup525
PAR4068763918,CUS1256,2022/03/17,2,53.3,80,pup854
PAR4068797289,CUS1257,2022/03/22,3,84.39,104,pup786
PAR4068788186,CUS1258,2022/03/24,1,84.39,102,pup1935
PAR4091197445,CUS1259,2022/03/22,3,73.83,76,pup1115
PAR4091183733,CUS1260,2022/03/16,2,73.83,78,pup905
PAR4068713899,CUS1261,2022/03/22,4,73.83,82,pup1009
PAR4091188896,CUS1262,2022/03/29,3,73.83,91,pup2750
PAR4091156233,CUS1263,2022/03/28,4,73.83,100,pup689
PAR4091119544,CUS1264,2022/03/22,4,73.83,97,pup1947
PAR4091123576,CUS1265,2022/03/11,2,,60,pup3893
PAR4091145931,CUS1266,2022/03/17,3,84.39,96,pup1476
PAR4068737802,CUS1267,2022/03/16,2,84.39,121,pup2775
PAR4091130435,CUS1268,2022/03/09,1,53.3,56,pup981
PAR4091120339,CUS1269,2022/03/10,1,53.3,79,pup3129
PAR4068788209,CUS1270,2022/03/15,3,84.39,87,pup2285
PAR4068747964,CUS1271,2022/03/22,3,84.39,88,pup533
PAR4091193836,CUS1272,2022/03/10,5,217.58,220,pup2908
PAR4068741202,CUS1273,2022/03/09,1,53.3,60,pup799
PAR4091142591,CUS1274,2022/03/22,2,84.39,126,pup1022
PAR4091151639,CUS1275,2022/03/18,2,,60,pup938
PAR4068749475,CUS1276,2022/03/22,2,53.3,64,pup694
PAR4068710929,CUS1277,2022/03/23,4,,60,pup2169
PAR4068700826,CUS1278,2022/03/30,2,217.58,240,pup3179
PAR4068749372,CUS1279,2022/03/18,2,84.39,114,pup2210
PAR4091154491,CUS1280,2022/03/15,3,73.83,84,pup3281
PAR4091112899,CUS1281,2022/03/29,2,84.39,89,pup3701
PAR4091171819,CUS1282,2022/03/14,1,53.3,76,pup707
PAR4091186261,CUS1283,2022/03/17,1,84.39,116,pup2741
PAR4091122968,CUS1284,2022/03/24,2,84.39,94,pup1708
PAR4068779980,CUS1285,2022/03/28,1,53.3,69,pup3306
PAR4068726915,CUS1286,2022/03/15,2,53.3,57,pup1110
PAR4091191647,CUS1287,2022/03/29,4,84.39,101,pup4365
PAR4068771219,CUS1288,2022/03/19,3,,60,pup1960
PAR4091190853,CUS1289,2022/03/22,1,,60,pup580
PAR4068768749,CUS1290,2022/03/31,2,84.39,108,pup377
PAR4091136504,CUS1291,2022/03/11,3,53.3,73,pup2261
PAR4091123054,CUS1292,2022/03/10,1,53.3,77,pup1009
PAR4091126096,CUS1292,2022/03/15,3,53.3,65,pup718
PAR4068740970,CUS1294,2022/03/30,1,84.39,120,pup1434
PAR4068791167,CUS1295,2022/03/10,2,53.3,72,pup2212
PAR4091120072,CUS1296,2022/03/11,1,84.39,97,pup566
PAR4091148210,CUS1297,2022/03/09,2,42.16,43,pup4427
PAR4091148613,CUS1298,2022/03/10,1,42.16,44,pup3133
PAR4068772129,CUS1299,2022/03/18,2,53.3,63,pup867
PAR4068738511,CUS1300,2022/03/19,3,73.83,107,pup3736
PAR4091128857,CUS1301,2022/03/11,1,53.3,80,pup732
PAR4068719053,CUS1302,2022/03/25,2,53.3,67,pup3151
PAR4091196719,CUS1302,2022/03/28,7,,60,pup931
PAR4068780408,CUS1304,2022/03/31,1,53.3,73,pup2538
PAR4091171831,CUS1305,2022/03/22,2,53.3,74,pup514
PAR4068752643,CUS1306,2022/03/18,4,84.39,123,pup928
PAR4091160197,CUS1306,2022/03/29,9,84.39,107,pup4175
PAR4091108613,CUS1308,2022/03/09,1,53.3,62,pup784
PAR4068771779,CUS1309,2022/03/19,3,42.16,56,pup187
PAR4091101758,CUS1310,2022/03/31,3,,60,pup318
PAR4091174877,CUS1310,2022/03/22,4,73.83,94,pup2730
PAR4091127872,CUS1312,2022/03/22,5,,60,pup2830
PAR4091169459,CUS1312,2022/03/09,1,42.16,61,pup1007
PAR4068794432,CUS1314,2022/03/30,2,53.3,68,pup493
PAR4091135928,CUS1315,2022/03/18,2,84.39,104,pup2780
PAR4068700765,CUS1316,2022/03/10,1,,60,pup960
PAR4068756779,CUS1317,2022/03/25,1,84.39,106,pup1944
PAR4068797546,CUS1318,2022/03/30,2,53.3,76,pup1968
PAR4091199533,CUS1319,2022/03/16,4,,60,pup4287
PAR4068752781,CUS1320,2022/03/16,4,217.58,251,pup624
PAR4091117493,CUS1321,2022/03/09,3,217.58,319,pup3109
PAR4091180689,CUS1322,2022/03/10,2,84.39,109,pup2241
PAR4068768642,CUS1323,2022/03/18,2,53.3,56,pup957
PAR4091172482,CUS1324,2022/03/11,1,53.3,73,pup2527
PAR4068753907,CUS1325,2022/03/30,1,84.39,95,pup1396
PAR4068781506,CUS1326,2022/03/14,9,53.3,60,pup2173
PAR4091188948,CUS1327,2022/03/22,4,217.58,287,pup4181
PAR4091180960,CUS1328,2022/03/15,6,,60,pup1611
PAR4091182978,CUS1329,2022/03/14,4,,60,pup722
PAR4091154310,CUS1330,2022/03/10,4,53.3,60,pup928
PAR4091171765,CUS1331,2022/03/18,2,84.39,125,pup2026
PAR4091190446,CUS1332,2022/03/11,,,60,pup492
PAR4068796970,CUS1333,2022/03/09,2,42.16,57,pup2814
PAR4068796970,CUS1333,2022/03/14,2,,60,pup922
PAR4091186746,CUS1335,2022/03/28,2,84.39,105,pup2079
PAR4068758975,CUS1336,2022/03/24,2,53.3,72,pup2860
PAR4068703518,CUS1337,2022/03/16,2,84.39,99,pup974
PAR4091180359,CUS1338,2022/03/11,2,84.39,92,pup3817
PAR4068793499,CUS1339,2022/03/15,2,84.39,104,pup3770
PAR4068750299,CUS1340,2022/03/22,7,,60,pup2735
PAR4091112288,CUS1341,2022/03/22,4,84.39,103,pup1030
PAR4091109020,CUS1342,2022/03/15,2,84.39,92,pup4787
PAR4068767260,CUS1343,2022/03/16,3,84.39,100,pup517
PAR4068732956,CUS1344,2022/03/29,5,53.3,58,pup1172
PAR4091169292,CUS1345,2022/03/15,3,84.39,95,pup702
PAR4068713124,CUS1346,2022/03/25,1,53.3,68,pup79
PAR4091134310,CUS1347,2022/03/17,4,73.83,79,pup1935
PAR4068717382,CUS1348,2022/03/26,5,84.39,108,pup3736
PAR4091124583,CUS1349,2022/03/11,2,53.3,67,pup2724
PAR4091111972,CUS1350,2022/03/09,1,84.39,96,pup1390
PAR4091177340,CUS1351,2022/03/29,4,,60,pup2272
PAR4091175181,CUS1352,2022/03/18,5,,60,pup3759
PAR4091121262,CUS1353,2022/03/10,3,84.39,121,pup467
PAR4068754158,CUS1354,2022/03/16,3,73.83,93,pup3757
PAR4091178894,CUS1355,2022/03/09,2,42.16,63,pup975
PAR4091178894,CUS1355,2022/03/14,2,,60,pup504
PAR4068773800,CUS1357,2022/03/19,1,217.58,289,pup613
PAR4091158443,CUS1358,2022/03/11,3,84.39,100,pup877
PAR4068747096,CUS1359,2022/03/15,2,84.39,113,pup2786
PAR4091120164,CUS1360,2022/03/29,1,73.83,96,pup2073
PAR4091149719,CUS1360,2022/03/10,3,73.83,96,pup682
PAR4091175115,CUS1360,2022/03/22,3,73.83,96,pup4268
PAR4091147667,CUS1363,2022/03/18,3,73.83,109,pup744
PAR4068790979,CUS1364,2022/03/17,4,,60,pup3150
PAR4091122307,CUS1365,2022/03/16,4,84.39,120,pup3770
PAR4068737908,CUS1366,2022/03/22,1,73.83,90,pup1631
PAR4068700075,CUS1367,2022/03/28,2,53.3,63,pup4187
PAR4091118898,CUS1368,2022/03/10,4,84.39,115,pup3060
PAR4068729913,CUS1369,2022/03/22,4,,60,pup4429
PAR4091107847,CUS1370,2022/03/09,1,,60,pup3104
PAR4091172928,CUS1371,2022/03/28,3,84.39,121,pup2901
PAR4068742280,CUS1372,2022/03/30,2,84.39,97,pup766
PAR4068755657,CUS1373,2022/03/30,2,84.39,94,pup907
PAR4068705547,CUS1374,2022/03/22,3,73.83,98,pup4488
PAR4091179753,CUS1375,2022/03/22,3,84.39,121,pup4023
PAR4091197715,CUS1376,2022/03/11,3,53.3,74,pup2280
PAR4091185963,CUS1377,2022/03/31,2,84.39,102,pup3925
PAR4068781323,CUS1378,2022/03/22,5,73.83,107,pup500
PAR4091136862,CUS1379,2022/03/15,5,73.83,80,pup3740
PAR4091193264,CUS1379,2022/03/17,3,,60,pup1625
PAR4068753824,CUS1381,2022/03/26,3,73.83,96,pup543
PAR4091176322,CUS1382,2022/03/17,2,53.3,70,pup607
PAR4091117626,CUS1383,2022/03/25,5,217.58,319,pup708
PAR4068767555,CUS1384,2022/03/19,1,84.39,114,pup1940
PAR4068771862,CUS1384,2022/03/28,1,84.39,103,pup2013
PAR4068778441,CUS1386,2022/03/30,1,84.39,112,pup3698
PAR4091158276,CUS1387,2022/03/23,2,217.58,228,pup1399
PAR4091146690,CUS1388,2022/03/16,2,73.83,105,pup3186
PAR4091197281,CUS1389,2022/03/22,3,,,pup2784
PAR4091126042,CUS1390,2022/03/09,4,42.16,51,pup657
PAR4091170483,CUS1391,2022/03/11,3,84.39,96,pup2027
PAR4091105114,CUS1392,2022/03/10,2,53.3,55,pup3103
PAR4091135820,CUS1393,2022/03/16,1,42.16,57,pup2109
PAR4091168978,CUS1394,2022/03/16,2,53.3,64,pup941
PAR4091175254,CUS1395,2022/03/09,1,42.16,56,pup3140
PAR4068784499,CUS1396,2022/03/28,2,,60,pup3054
PAR4068798049,CUS1397,2022/03/30,1,42.16,47,pup3145
PAR4091155152,CUS1398,2022/03/09,3,42.16,45,pup578
PAR4091115053,CUS1399,2022/03/25,4,,60,pup108
PAR4091166465,CUS1399,2022/03/30,2,84.39,116,pup3451
PAR4091199919,CUS1401,2022/03/11,2,53.3,71,pup2533
PAR4068758953,CUS1402,2022/03/22,2,84.39,96,pup3273
PAR4091181642,CUS1403,2022/03/10,2,73.83,82,pup2527
PAR4068745440,CUS1404,2022/03/17,2,84.39,118,pup3063
PAR4091185811,CUS1405,2022/03/10,3,84.39,121,pup672
PAR4091197360,CUS1406,2022/03/28,2,84.39,109,pup2402
PAR4091197360,CUS1406,2022/03/29,2,,60,pup624
PAR4068776940,CUS1408,2022/03/09,2,42.16,46,pup782
PAR4068776940,CUS1408,2022/03/14,2,,60,pup203
PAR4068775334,CUS1410,2022/03/23,2,84.39,113,pup112
PAR4068709092,CUS1411,2022/03/22,3,217.58,298,pup1465
PAR4091176670,CUS1412,2022/03/24,1,84.39,105,pup2784
PAR4068760912,CUS1413,2022/03/18,4,84.39,89,pup686
PAR4068726965,CUS1414,2022/03/31,2,42.16,50,pup3140
PAR4091119887,CUS1415,2022/03/22,4,73.83,75,pup2857
PAR4091143118,CUS1416,2022/03/09,2,,60,pup1993
PAR4091162707,CUS1417,2022/03/10,4,53.3,77,pup3779
PAR4068723497,CUS1418,2022/03/29,2,53.3,73,pup1020
PAR4091157406,CUS1419,2022/03/22,4,84.39,91,pup4154
